component,name,function,apiType,api,version,specVersion,required,resource,method
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,catalog,GET
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,catalog,GET /id
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,catalog,POST
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,catalog,PATCH
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,catalog,DELETE
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,category,GET
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,category,GET /id
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,category,POST
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,category,PATCH
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,category,DELETE
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productSpecification,GET
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productSpecification,GET /id
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productSpecification,POST
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productSpecification,PATCH
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productSpecification,DELETE
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productOffering,GET
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productOffering,GET /id
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productOffering,POST
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productOffering,PATCH
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productOffering,DELETE
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productOfferingPrice,GET
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productOfferingPrice,GET /id
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productOfferingPrice,POST
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productOfferingPrice,PATCH
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,productOfferingPrice,DELETE
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,exportJob,POST
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,exportJob,GET
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,exportJob,GET /id
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,exportJob,DELETE
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,importJob,POST
TMFC001,ProductCatalogManagement,coreFunction,exposedAPIs,TMF620,v4.0.0,4.1.0,true,importJob,GET
